summonerName,item0,item1,item2,item3,item4,item5,item6,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk1,statPerk2,championId,spell1Id,spell2Id,role,lane
Bwipo,NaN,NaN,Black Cleaver,Plated Steelcaps,NaN,Edge of Night,Oracle Lens,Conqueror,NaN,,,Triumph,NaN,NaN,,LegendAlacrity,NaN,NaN,,CoupDeGrace,NaN,,,MagicalFootwear,NaN,NaN,NaN,CosmicInsight,,,,NaN,NaN,NaN,NaN,Kha'Zix,Flash,Smite,NONE,JUNGLE
Bwipo,NaN,Ravenous Hydra,Sterak's Gage,Plated Steelcaps,Guardian Angel,Trinity Force,Stealth Ward,Conqueror,NaN,,,Triumph,NaN,NaN,,LegendBloodline,NaN,NaN,,LastStand,NaN,,,ShieldBash,NaN,,,BonePlating,NaN,,,NaN,NaN,NaN,NaN,Camille,Flash,Teleport,SOLO,TOP
Broxah,Night Harvester,Refillable Potion,Amplifying Tome,NaN,Sorcerer's Shoes,Control Ward,Oracle Lens,DarkHarvest,NaN,NaN,,SuddenImpact,NaN,,,EyeballCollection,NaN,,,RavenousHunter,NaN,NaN,,Transcendence,,,,Waterwalking,NaN,NaN,,NaN,NaN,NaN,NaN,Nidalee,Flash,Smite,DUO_SUPPORT,NONE
Broxah,Trinity Force,Mercury's Treads,Vampiric Scepter,Recurve Bow,Pickaxe,Control Ward,Stealth Ward,Conqueror,,,,Triumph,NaN,NaN,,LegendAlacrity,NaN,NaN,,CoupDeGrace,NaN,,,SuddenImpact,NaN,,,RavenousHunter,NaN,NaN,,NaN,NaN,NaN,NaN,Jax,Flash,Smite,NONE,JUNGLE
Nemesis,Rylai's Crystal Scepter,Sorcerer's Shoes,NaN,Rabadon's Deathcap,Morellonomicon,NaN,Stealth Ward,DarkHarvest,NaN,NaN,NaN,TasteOfBlood,NaN,,,GhostPoro,NaN,NaN,NaN,RelentlessHunter,NaN,NaN,,Triumph,NaN,NaN,,CoupDeGrace,NaN,,,NaN,NaN,NaN,NaN,Malzahar,Ignite,Flash,DUO_SUPPORT,NONE
Nemesis,NaN,Sanguine Blade,Phage,Plated Steelcaps,NaN,NaN,Poro-Snax,Electrocute,NaN,,,SuddenImpact,NaN,,,EyeballCollection,NaN,,,UltimateHunter,NaN,,,Triumph,NaN,NaN,,CoupDeGrace,NaN,,,NaN,NaN,NaN,NaN,Nocturne,Mark,Flash,DUO_SUPPORT,NONE
Hylissang,Blade of The Ruined King,Black Cleaver,Thornmail,Null-Magic Mantle,Ruby Crystal,Plated Steelcaps,Stealth Ward,Conqueror,NaN,,,Triumph,NaN,NaN,,LegendAlacrity,NaN,NaN,,LastStand,NaN,,,Demolish,NaN,,,BonePlating,NaN,,,NaN,NaN,NaN,NaN,Renekton,Flash,Teleport,SOLO,TOP
Hylissang,Zhonya's Hourglass,Rabadon's Deathcap,Rylai's Crystal Scepter,Void Staff,NaN,Warden's Mail,Stealth Ward,PhaseRush,NaN,,,NimbusCloak,NaN,,,Celerity,NaN,,,Scorch,NaN,,,TasteOfBlood,NaN,,,RavenousHunter,NaN,NaN,,NaN,NaN,NaN,NaN,Cassiopeia,Flash,Ghost,DUO_SUPPORT,NONE
Werlyb,Mobility Boots,Shard of True Ice,Aegis of the Legion,Total Biscuit of Everlasting Will,Cloth Armor,Zhonya's Hourglass,Stealth Ward,ArcaneComet,NaN,,,NimbusCloak,NaN,,,Transcendence,,,,Scorch,NaN,,,PerfectTiming,,,,BiscuitDelivery,NaN,,,NaN,NaN,NaN,NaN,Morgana,Flash,Ignite,DUO_SUPPORT,BOTTOM
Werlyb,Shard of True Ice,Sorcerer's Shoes,NaN,NaN,NaN,NaN,Oracle Lens,DarkHarvest,NaN,NaN,,CheapShot,NaN,,,EyeballCollection,NaN,,,UltimateHunter,NaN,,,Transcendence,,,,Scorch,NaN,,,NaN,NaN,NaN,NaN,Brand,Flash,Ignite,DUO_SUPPORT,BOTTOM
Selfmade,Runesteel Spaulders,Mobility Boots,NaN,NaN,NaN,NaN,Oracle Lens,Aftershock,NaN,,,Demolish,,,,BonePlating,NaN,,,Unflinching,NaN,,,PresenceOfMind,NaN,NaN,,LegendTenacity,,,,NaN,NaN,NaN,NaN,Pyke,Flash,Ignite,DUO_SUPPORT,BOTTOM
Selfmade,Hextech Alternator,Boots,Rylai's Crystal Scepter,NaN,NaN,NaN,Stealth Ward,Electrocute,NaN,,,TasteOfBlood,NaN,,,EyeballCollection,NaN,,,RavenousHunter,NaN,NaN,,Triumph,NaN,NaN,,CoupDeGrace,NaN,,,NaN,NaN,NaN,NaN,Rumble,Flash,Teleport,DUO_SUPPORT,NONE
Pirean,NaN,Negatron Cloak,Dead Man's Plate,Warmog's Armor,Mercury's Treads,Chain Vest,Oracle Lens,PhaseRush,NaN,,,NimbusCloak,NaN,,,Celerity,NaN,,,Waterwalking,NaN,,,CheapShot,NaN,,,RelentlessHunter,NaN,NaN,,NaN,NaN,NaN,NaN,Nunu & Willump,Flash,Smite,NONE,JUNGLE
Pirean,NaN,Refillable Potion,Giant's Belt,Mercury's Treads,Cloth Armor,Control Ward,Oracle Lens,PhaseRush,NaN,,,NimbusCloak,NaN,,,Celerity,NaN,,,Waterwalking,NaN,NaN,,CheapShot,NaN,,,RelentlessHunter,NaN,NaN,,NaN,NaN,NaN,NaN,Nunu & Willump,Flash,Smite,NONE,JUNGLE
Crownshot,Doran's Blade,Infinity Edge,Berserker's Greaves,Rapid Firecannon,Cloak of Agility,Dagger,Farsight Alteration,LethalTempo,NaN,NaN,,PresenceOfMind,NaN,NaN,,LegendBloodline,,,,CoupDeGrace,NaN,,,NimbusCloak,NaN,,,GatheringStorm,NaN,,,NaN,NaN,NaN,NaN,Caitlyn,Flash,Heal,DUO_CARRY,BOTTOM
Crownshot,NaN,Refillable Potion,Mercury's Treads,NaN,Long Sword,NaN,Oracle Lens,Electrocute,NaN,,,SuddenImpact,NaN,,,EyeballCollection,NaN,,,RavenousHunter,NaN,NaN,,MagicalFootwear,NaN,NaN,,CosmicInsight,,,,NaN,NaN,NaN,NaN,Kha'Zix,Flash,Smite,NONE,JUNGLE
Dreams,Doran's Blade,Berserker's Greaves,Stormrazor,Infinity Edge,Dagger,Dagger,Stealth Ward,FleetFootwork,NaN,,,Overheal,NaN,NaN,,LegendBloodline,NaN,NaN,,CoupDeGrace,NaN,,,NimbusCloak,NaN,,,GatheringStorm,NaN,,,NaN,NaN,NaN,NaN,Caitlyn,Heal,Flash,DUO_CARRY,BOTTOM
Dreams,Berserker's Greaves,Cloth Armor,Phantom Dancer,Infinity Edge,Stopwatch,Mercurial Scimitar,Farsight Alteration,Conqueror,NaN,,,Triumph,NaN,NaN,,LegendBloodline,NaN,NaN,,CoupDeGrace,NaN,,,TasteOfBlood,NaN,,,RavenousHunter,NaN,NaN,,NaN,NaN,NaN,NaN,Yasuo,Ignite,Flash,SOLO,MIDDLE
Vizicsacsi,Relic Shield,NaN,Health Potion,NaN,NaN,NaN,Stealth Ward,Aftershock,,,,Demolish,,,,SecondWind,NaN,,,Overgrowth,NaN,,,PresenceOfMind,,,,LegendTenacity,,,,NaN,NaN,NaN,NaN,Maokai,Exhaust,Flash,DUO,NONE
Vizicsacsi,Spellthief's Edge,NaN,NaN,Ardent Censer,NaN,NaN,Stealth Ward,SummonAery,NaN,NaN,,ManaflowBand,NaN,NaN,,Transcendence,,,,GatheringStorm,NaN,,,PresenceOfMind,NaN,NaN,,CutDown,NaN,,,NaN,NaN,NaN,NaN,Yuumi,Ignite,Exhaust,DUO_SUPPORT,BOTTOM
Xerxe,Muramana,Ionian Boots of Lucidity,Trinity Force,Long Sword,NaN,NaN,Stealth Ward,Conqueror,NaN,,,PresenceOfMind,NaN,NaN,,LegendAlacrity,,,,CoupDeGrace,NaN,,,ManaflowBand,NaN,NaN,,Transcendence,NaN,,,NaN,NaN,NaN,NaN,Ezreal,Heal,Flash,DUO_SUPPORT,NONE
Kobbe,Galeforce,Berserker's Greaves,The Collector,Infinity Edge,NaN,NaN,Poro-Snax,PhaseRush,NaN,,,NimbusCloak,NaN,,,AbsoluteFocus,NaN,NaN,,Scorch,NaN,,,Triumph,NaN,NaN,,LegendAlacrity,NaN,,,NaN,NaN,NaN,NaN,Graves,Mark,Flash,DUO,NONE
Kobbe,Doran's Blade,Berserker's Greaves,Immortal Shieldbow,Runaan's Hurricane,NaN,NaN,Farsight Alteration,LethalTempo,NaN,NaN,,PresenceOfMind,NaN,,,LegendBloodline,NaN,NaN,,CoupDeGrace,NaN,,,BiscuitDelivery,NaN,,,ApproachVelocity,NaN,,,NaN,NaN,NaN,NaN,Ashe,Cleanse,Flash,DUO_CARRY,BOTTOM
Norskeren,Bulwark of the Mountain,Zeke's Convergence,Mercury's Treads,NaN,Ruby Crystal,NaN,Oracle Lens,Aftershock,NaN,,,FontOfLife,NaN,,,BonePlating,NaN,,,Overgrowth,NaN,,,BiscuitDelivery,NaN,,,CosmicInsight,,,,NaN,NaN,NaN,NaN,Leona,Flash,Ignite,DUO_SUPPORT,BOTTOM
Norskeren,Bulwark of the Mountain,Refillable Potion,Ardent Censer,NaN,Boots,Amplifying Tome,Stealth Ward,SummonAery,NaN,NaN,,ManaflowBand,NaN,NaN,,Transcendence,,,,Scorch,NaN,,,CosmicInsight,,,,BiscuitDelivery,NaN,,,NaN,NaN,NaN,NaN,Nami,Flash,Exhaust,DUO,BOTTOM
Exile,Infinity Edge,Berserker's Greaves,The Collector,Bloodthirster,Immortal Shieldbow,Mortal Reminder,Farsight Alteration,Conqueror,NaN,,,Triumph,NaN,NaN,,LegendBloodline,NaN,NaN,,CoupDeGrace,NaN,,,TasteOfBlood,NaN,,,RavenousHunter,NaN,NaN,,NaN,NaN,NaN,NaN,Samira,Flash,Heal,DUO_CARRY,BOTTOM
Exile,Mercurial Scimitar,Immortal Shieldbow,Berserker's Greaves,Infinity Edge,The Collector,Zeal,Farsight Alteration,Conqueror,NaN,,,Triumph,NaN,NaN,,LegendBloodline,NaN,NaN,,CoupDeGrace,NaN,,,TasteOfBlood,NaN,,,RavenousHunter,NaN,NaN,,NaN,NaN,NaN,NaN,Samira,Flash,Heal,DUO_CARRY,BOTTOM
Jeskla,NaN,Refillable Potion,Mobility Boots,NaN,NaN,NaN,Stealth Ward,Conqueror,,,,Triumph,NaN,NaN,,LegendAlacrity,NaN,NaN,,CoupDeGrace,NaN,,,NimbusCloak,NaN,,,Waterwalking,NaN,,,NaN,NaN,NaN,NaN,Lee Sin,Flash,Smite,DUO_SUPPORT,TOP
Jeskla,Youmuu's Ghostblade,NaN,Berserker's Greaves,NaN,Long Sword,NaN,Poro-Snax,DarkHarvest,NaN,NaN,,TasteOfBlood,NaN,,,EyeballCollection,NaN,,,RavenousHunter,NaN,NaN,,PresenceOfMind,NaN,NaN,,CoupDeGrace,NaN,,,NaN,NaN,NaN,NaN,Varus,Flash,Heal,DUO,NONE
Cabochard,Duskblade of Draktharr,Mercury's Treads,NaN,Refillable Potion,Control Ward,NaN,Stealth Ward,Electrocute,NaN,,,TasteOfBlood,NaN,,,EyeballCollection,NaN,,,UltimateHunter,NaN,,,Transcendence,,,,Scorch,NaN,,,NaN,NaN,NaN,NaN,Zed,Ignite,Flash,DUO,NONE
Cabochard,Moonstone Renewer,Ardent Censer,Redemption,Dark Seal,Staff of Flowing Water,Mobility Boots,Stealth Ward,SummonAery,NaN,NaN,,NimbusCloak,NaN,,,Transcendence,NaN,,,Waterwalking,NaN,NaN,,CosmicInsight,,,,FuturesMarket,NaN,,,NaN,NaN,NaN,NaN,Ivern,Smite,Flash,NONE,JUNGLE
Mowgli,Sorcerer's Shoes,Zhonya's Hourglass,Night Harvester,Lich Bane,Rabadon's Deathcap,Morellonomicon,Stealth Ward,Electrocute,NaN,,,SuddenImpact,NaN,,,EyeballCollection,NaN,,,UltimateHunter,NaN,,,AbsoluteFocus,NaN,NaN,,GatheringStorm,NaN,,,NaN,NaN,NaN,NaN,Evelynn,Smite,Flash,NONE,JUNGLE
Mowgli,Edge of Night,Mercury's Treads,NaN,Mortal Reminder,Black Cleaver,NaN,Poro-Snax,Electrocute,NaN,,,TasteOfBlood,NaN,,,EyeballCollection,NaN,,,UltimateHunter,NaN,,,LegendTenacity,NaN,NaN,,CoupDeGrace,NaN,,,NaN,NaN,NaN,NaN,Zed,Ignite,Flash,DUO_SUPPORT,MIDDLE
Jiizuke,Trinity Force,Corrupting Potion,Mercury's Treads,Sterak's Gage,Spirit Visage,Serrated Dirk,Farsight Alteration,ArcaneComet,NaN,,,ManaflowBand,NaN,NaN,,Transcendence,,,,GatheringStorm,NaN,,,EyeballCollection,NaN,,,RelentlessHunter,NaN,NaN,,NaN,NaN,NaN,NaN,Gangplank,Flash,Teleport,SOLO,TOP
Jiizuke,NaN,Essence Reaver,Youmuu's Ghostblade,Edge of Night,NaN,Pickaxe,Stealth Ward,Electrocute,NaN,,,TasteOfBlood,NaN,,,EyeballCollection,NaN,,,RavenousHunter,NaN,NaN,,Triumph,NaN,NaN,,CoupDeGrace,NaN,,,NaN,NaN,NaN,NaN,Riven,Flash,Ignite,DUO_SUPPORT,NONE
Attila,Mercury's Treads,Abyssal Mask,Bramble Vest,NaN,Cloth Armor,NaN,Stealth Ward,GraspOfTheUndying,NaN,NaN,,FontOfLife,NaN,,,Conditioning,NaN,NaN,NaN,Overgrowth,NaN,,,ManaflowBand,NaN,NaN,,GatheringStorm,NaN,,,NaN,NaN,NaN,NaN,Cho'Gath,Flash,Teleport,SOLO,MIDDLE
Attila,Mercury's Treads,Frozen Heart,Thornmail,NaN,Dead Man's Plate,Chain Vest,Stealth Ward,GraspOfTheUndying,NaN,NaN,,FontOfLife,NaN,,,Conditioning,NaN,NaN,NaN,Overgrowth,NaN,,,ManaflowBand,NaN,NaN,,GatheringStorm,NaN,,,NaN,NaN,NaN,NaN,Cho'Gath,Flash,Teleport,DUO,MIDDLE
Jactroll,NaN,NaN,Null-Magic Mantle,Sapphire Crystal,Doran's Shield,Boots,Stealth Ward,GraspOfTheUndying,NaN,NaN,,Demolish,NaN,,,BonePlating,NaN,,,Overgrowth,NaN,,,BiscuitDelivery,NaN,,,CosmicInsight,,,,NaN,NaN,NaN,NaN,Ornn,Flash,Teleport,SOLO,TOP
Jactroll,Seraph's Embrace,Refillable Potion,Lost Chapter,NaN,NaN,Boots,Stealth Ward,PhaseRush,NaN,,,ManaflowBand,NaN,NaN,,Transcendence,,,,GatheringStorm,NaN,,,TasteOfBlood,NaN,,,RavenousHunter,NaN,NaN,,NaN,NaN,NaN,NaN,Ryze,Flash,Teleport,DUO_CARRY,MIDDLE
Odoamne,Goredrinker,Refillable Potion,Doran's Blade,Plated Steelcaps,Sterak's Gage,Vampiric Scepter,Stealth Ward,Conqueror,NaN,,,Triumph,NaN,NaN,,LegendTenacity,NaN,NaN,,LastStand,NaN,,,SecondWind,NaN,,,Overgrowth,NaN,,,NaN,NaN,NaN,NaN,Aatrox,Flash,Ghost,NONE,JUNGLE
Odoamne,Zhonya's Hourglass,Liandry's Anguish,Doran's Ring,Blasting Wand,NaN,Mercury's Treads,Stealth Ward,FleetFootwork,NaN,,,PresenceOfMind,NaN,,,LegendTenacity,NaN,NaN,,LastStand,NaN,,,BiscuitDelivery,NaN,,,MagicalFootwear,NaN,NaN,,NaN,NaN,NaN,NaN,Sylas,Teleport,Flash,SOLO,TOP
Memento,NaN,Needlessly Large Rod,Sorcerer's Shoes,NaN,NaN,NaN,Stealth Ward,Electrocute,NaN,,,TasteOfBlood,NaN,,,EyeballCollection,NaN,,,RavenousHunter,NaN,NaN,,Triumph,NaN,NaN,,CoupDeGrace,NaN,,,NaN,NaN,NaN,NaN,Veigar,Smite,Flash,DUO_SUPPORT,MIDDLE
Memento,NaN,Berserker's Greaves,NaN,NaN,Spirit Visage,Warmog's Armor,Stealth Ward,PhaseRush,NaN,,,NimbusCloak,NaN,,,Celerity,NaN,,,Waterwalking,NaN,NaN,,FuturesMarket,NaN,,,MagicalFootwear,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Udyr,Flash,Smite,NONE,JUNGLE
Abbedagge,Doran's Ring,Rabadon's Deathcap,Luden's Tempest,Sorcerer's Shoes,Horizon Focus,Blighting Jewel,Farsight Alteration,ArcaneComet,NaN,,,ManaflowBand,NaN,NaN,,Transcendence,NaN,,,Scorch,NaN,,,CheapShot,NaN,,,UltimateHunter,NaN,,,NaN,NaN,NaN,NaN,Ziggs,Heal,Flash,DUO_SUPPORT,NONE
Abbedagge,Doran's Blade,Goredrinker,Plated Steelcaps,Ravenous Hydra,Death's Dance,Sterak's Gage,Stealth Ward,Conqueror,NaN,,,Triumph,NaN,NaN,,LegendAlacrity,NaN,NaN,,LastStand,NaN,,,UltimateHunter,NaN,,,EyeballCollection,NaN,,,NaN,NaN,NaN,NaN,Olaf,Barrier,Flash,DUO,NONE
Upset,Seraph's Embrace,Luden's Tempest,Void Staff,Sorcerer's Shoes,Morellonomicon,Rabadon's Deathcap,Farsight Alteration,PhaseRush,NaN,,,ManaflowBand,NaN,NaN,,Transcendence,NaN,,,Scorch,NaN,,,TasteOfBlood,NaN,,,RavenousHunter,NaN,NaN,,NaN,NaN,NaN,NaN,Anivia,Cleanse,Flash,SOLO,MIDDLE
Upset,Cosmic Drive,Night Harvester,Zhonya's Hourglass,Ionian Boots of Lucidity,Amplifying Tome,Needlessly Large Rod,Oracle Lens,PhaseRush,NaN,,,ManaflowBand,NaN,NaN,,Transcendence,NaN,,,Scorch,NaN,,,MagicalFootwear,NaN,NaN,,CosmicInsight,,,,NaN,NaN,NaN,NaN,Gragas,Smite,Flash,NONE,JUNGLE
Profit,NaN,Doran's Blade,Wit's End,Sterak's Gage,Trinity Force,Plated Steelcaps,Stealth Ward,Conqueror,NaN,,,PresenceOfMind,NaN,,,LegendBloodline,NaN,NaN,,LastStand,NaN,,,TasteOfBlood,NaN,,,RavenousHunter,NaN,NaN,,NaN,NaN,NaN,NaN,Irelia,Ignite,Flash,SOLO,MIDDLE
Profit,NaN,NaN,Doran's Blade,Mortal Reminder,Immortal Shieldbow,Berserker's Greaves,Stealth Ward,Conqueror,NaN,,,Triumph,NaN,NaN,,LegendAlacrity,NaN,NaN,,CoupDeGrace,NaN,,,TasteOfBlood,NaN,,,RavenousHunter,NaN,NaN,,NaN,NaN,NaN,NaN,Yasuo,Cleanse,Flash,SOLO,MIDDLE
Kikis,Ruby Crystal,Control Ward,Long Sword,NaN,Plated Steelcaps,Edge of Night,Stealth Ward,Conqueror,NaN,,,Triumph,NaN,NaN,,LegendAlacrity,NaN,NaN,,LastStand,NaN,,,SuddenImpact,NaN,,,RavenousHunter,NaN,NaN,,NaN,NaN,NaN,NaN,Lee Sin,Flash,Smite,NONE,JUNGLE
Kikis,NaN,NaN,NaN,NaN,Sorcerer's Shoes,Oblivion Orb,Oracle Lens,Electrocute,NaN,,,CheapShot,NaN,,,EyeballCollection,NaN,,,RavenousHunter,NaN,NaN,,LegendAlacrity,NaN,NaN,,CoupDeGrace,NaN,,,NaN,NaN,NaN,NaN,Elise,Flash,Smite,NONE,JUNGLE
Sencux,Ravenous Hydra,NaN,Long Sword,NaN,NaN,Boots,NaN,Electrocute,NaN,,,TasteOfBlood,NaN,,,EyeballCollection,NaN,,,RavenousHunter,NaN,NaN,,Triumph,NaN,NaN,,CoupDeGrace,NaN,,,NaN,NaN,NaN,NaN,Pantheon,Flash,Ignite,DUO,NONE
Wadid,Rapid Firecannon,NaN,Guardian Angel,Stormrazor,NaN,Berserker's Greaves,Farsight Alteration,PressTheAttack,NaN,NaN,NaN,Triumph,NaN,NaN,,LegendAlacrity,NaN,NaN,,CoupDeGrace,NaN,,,AbsoluteFocus,NaN,NaN,,GatheringStorm,NaN,,,NaN,NaN,NaN,NaN,Tristana,Ghost,Heal,SOLO,BOTTOM
Wadid,Essence Reaver,Infinity Edge,NaN,B. F. Sword,Vampiric Scepter,Berserker's Greaves,Stealth Ward,NaN,Miss Fortune,Ghost,Heal,DUO_CARRY,NONE
Maxlore,Void Staff,Zhonya's Hourglass,Morellonomicon,Luden's Tempest,Sorcerer's Shoes,Mejai's Soulstealer,Oracle Lens,DarkHarvest,NaN,NaN,,CheapShot,NaN,,,EyeballCollection,NaN,,,RavenousHunter,NaN,NaN,,AbsoluteFocus,NaN,NaN,,Waterwalking,NaN,NaN,,NaN,NaN,NaN,NaN,Taliyah,Smite,Flash,NONE,JUNGLE
Maxlore,Refillable Potion,Mercury's Treads,NaN,Galeforce,Serrated Dirk,Pickaxe,Oracle Lens,PhaseRush,NaN,,,NimbusCloak,NaN,,,AbsoluteFocus,NaN,NaN,,Waterwalking,NaN,NaN,,LegendAlacrity,NaN,NaN,,Triumph,NaN,NaN,,NaN,NaN,NaN,NaN,Graves,Smite,Flash,NONE,JUNGLE
Alphari,Seraph's Embrace,Void Staff,Guardian's Orb,Nashor's Tooth,Riftmaker,Sorcerer's Shoes,Poro-Snax,LethalTempo,NaN,,,PresenceOfMind,NaN,,,LegendAlacrity,NaN,NaN,,CutDown,NaN,,,EyeballCollection,NaN,,,RavenousHunter,NaN,NaN,,NaN,NaN,NaN,NaN,Azir,Flash,Mark,DUO_SUPPORT,TOP
Alphari,Galeforce,Guinsoo's Rageblade,Guardian's Hammer,Berserker's Greaves,Hexdrinker,Bloodthirster,Poro-Snax,LethalTempo,NaN,,,PresenceOfMind,NaN,,,LegendBloodline,NaN,NaN,,CutDown,NaN,,,EyeballCollection,NaN,,,UltimateHunter,NaN,,,NaN,NaN,NaN,NaN,Kalista,Flash,Mark,SOLO,TOP
Kold,Trinity Force,Refillable Potion,Plated Steelcaps,Phage,NaN,NaN,Stealth Ward,PhaseRush,NaN,,,NimbusCloak,NaN,,,Celerity,NaN,,,Waterwalking,NaN,NaN,,RavenousHunter,NaN,NaN,,SuddenImpact,NaN,,,NaN,NaN,NaN,NaN,Hecarim,Smite,Ghost,DUO_SUPPORT,NONE
Kold,Trinity Force,Refillable Potion,Plated Steelcaps,Death's Dance,Phage,Ruby Crystal,Oracle Lens,PhaseRush,NaN,,,NimbusCloak,NaN,,,Celerity,NaN,,,Waterwalking,NaN,NaN,,RavenousHunter,NaN,NaN,,SuddenImpact,NaN,,,NaN,NaN,NaN,NaN,Hecarim,Smite,Ghost,NONE,JUNGLE
Nukeduck,Seraph's Embrace,Luden's Tempest,Rabadon's Deathcap,Fiendish Codex,Void Staff,Horizon Focus,Poro-Snax,DarkHarvest,NaN,NaN,,TasteOfBlood,NaN,,,EyeballCollection,NaN,,,UltimateHunter,NaN,,,ManaflowBand,NaN,NaN,,GatheringStorm,NaN,,,NaN,NaN,NaN,NaN,Orianna,Heal,Flash,DUO_SUPPORT,TOP
Nukeduck,Sorcerer's Shoes,Luden's Tempest,Nashor's Tooth,NaN,NaN,NaN,Poro-Snax,LethalTempo,NaN,,,Overheal,NaN,NaN,,LegendBloodline,NaN,NaN,,CoupDeGrace,NaN,,,UltimateHunter,NaN,,,TasteOfBlood,NaN,,,NaN,NaN,NaN,NaN,Lulu,Heal,Flash,DUO_SUPPORT,NONE
Patrik,Berserker's Greaves,Muramana,The Collector,Infinity Edge,Galeforce,Bloodthirster,Farsight Alteration,LethalTempo,NaN,NaN,,PresenceOfMind,NaN,,,LegendBloodline,NaN,,,CutDown,NaN,,,ManaflowBand,NaN,NaN,,GatheringStorm,NaN,,,NaN,NaN,NaN,NaN,Sivir,Flash,Heal,DUO_CARRY,BOTTOM
Patrik,Boots,Refillable Potion,Sunfire Aegis,Cloth Armor,NaN,NaN,Oracle Lens,Aftershock,NaN,,,FontOfLife,NaN,,,Conditioning,NaN,NaN,NaN,Unflinching,NaN,,,Triumph,NaN,NaN,,LegendAlacrity,,,,NaN,NaN,NaN,NaN,Rammus,Flash,Smite,DUO_SUPPORT,NONE
Jankos,Minion Dematerializer,NaN,NaN,Sheen,Slightly Magical Footwear,Long Sword,Stealth Ward,NaN,NaN,,,MagicalFootwear,NaN,,,MinionDematerializer,NaN,,,ApproachVelocity,NaN,,,NimbusCloak,NaN,,,Celerity,NaN,,,NaN,NaN,NaN,NaN,Trundle,Barrier,Flash,DUO_SUPPORT,NONE
Jankos,Youmuu's Ghostblade,NaN,Minion Dematerializer,Dagger,Boots of Swiftness,Sheen,Stealth Ward,NaN,NaN,NaN,,MagicalFootwear,NaN,NaN,,MinionDematerializer,NaN,,,ApproachVelocity,NaN,,,NimbusCloak,NaN,,,Celerity,NaN,,,NaN,NaN,NaN,NaN,Darius,Ghost,Flash,DUO_SUPPORT,NONE
